Consequences,,,,,,,
Fire/Explosion,Leakage,Toxic release ,Equipment Damage,Damage to Human Health / Environment  ,Production Loss,Operating Conditions Issues ,
NH3 in compressor explosion hazard,"Vaporizer floods, liquid to reactor","Incomplete oxidation, a pollution from absorber from operating procedures",Impurities possible poisoning of catalyst,Environmental pollution casualty,product unit conc. get down,Possible dangerous increase in NH3 concentration and pressure,Possible plugging of boiler tubes
chances of fire and explosion,chances of leak of reactant,chance of release of toxic gases,adverse effect to next unit,,quality decreases,"High rate of reaction, high reactor temperature",excess heat generation
High pressure inside the kettle release of formaldehyde explosion hazard resulting in one casualty.,reactant release,Polluted nitrogen pipe network,Possible equipment/material damage,High pressure inside the kettle release of formaldehyde explosion hazard resulting in one casualty.,"Lower residence time, Lower conversion, Lower LA production",Flow of vapor into storage,"Losses due to thermal inefficiency, reaction rate gets reduced"
DPA resin leakage lighting-blast hazard,DPA resin leakage lighting-blast hazard,Release of materials from downstream plant,Property damage,Waste of N2 and local noise,Process stops,high current density,rate of reaction decrease
"IST drains through V6, environmental impact, fire",Formaldehyde leaking,Chemical release - small,High-temperature Property damage,"Recontamination, environmental impact, fire","Slower displacement, limited C6 removal",Reaction rate and heat release increased. May eventually exceed vessel cooling capacity leading to over-temperature,"Partial evaporation, reaction rate reduced"
"Possible upset, possible fire","Higher residency time, Possible overflow", Possibility of deformation and tilting of the floating roof; Methanol leak on floating roof,"Damage to reactor or pump,",Loss of contaminated nitrogen to dump tank and eventually to atmosphere,Spoilt batch,Risk of accumulation of unmixed B leading to uncontrolled reaction,chances of side reaction
"Potential fire, explosion, and personnel exposure.",Overflow of the batch mixer,Methanol leakage,membrane damage,,Excess of B in product; batch will be out of specification,Exothermic polymerization,"Possible degradation, reaction rate gets reduced"
Flash fire - Large,Flooding in the column T-100,Release of flammable material,Contamination of downstream or pump rotation,"Risk to operator from inert atmosphere, especially nitrogen",Batch out of specification and process delay,Resulting in highly concentrated solution,"Bad mixing, reaction rate gets reduced"
Pool fire - Large,Condensed liquid flow back to T-100; Flooding in T-100;,Oil spill and contamination,Vessel Overpressure (>3.5x MAWP) and rupture, Injuries to people,Poor quality batch. Extreme outcome is cessation of reaction and accumulation of unreacted B,Increase in furnace load (E-103); Process fluid temperature too low,Some (small amount) of air left in hose
"Reaction rate accelerates, reactor temperature rises excessively, leading to potential explosion",Flooding of the V-0001 vessel,Spill of crude oil and contamination of the environment,"Safety valve SV301 ruptures, halting reaction and shutting down system",Spill of crude oil and contamination of the environment,Stirring becomes inefficient and unmixed B may accumulate,Loss of heat to H2; TIC will call for further opening of V1 resulting in temperature rise in H1.,System moves to fail safe condition
Excessive heat from exothermic reaction increases explosion risk, Drag of the liquid into the gas line and treatment unit,"There is no nitrogen supply for the blanketing system in the tank. The tank has the potential to be vacuumed
causing  collapse  and  failure.  This  will  cause  the release of methanol/catalyst in the bund wall",Damage to methanol storage tanks and lines,Release of hydrocarbon leading to environmental pollution and potential fire,Batch quality affected unless initial pH is range 10—11.5," Possible vapour locking in the pumps, leading to dry running of pumps.",
"Burst pipe, etc.",Possible leakage of hydrocarbons,Internal corrosion of piping and vessel leading to release of hydrocarbons and potential fire,Damage to the tank due to collapse,Potential exposure of high pressure to personnel during maintenance of PSV-0101A/B,"Reaction slows, causing economic loss and inconsistent product quality",Potential system overpressure,Control system moves the plant to a predetermined state based on the trip signals
Water turns to steam and explodes.,Flooding of L6 and reboiler operation stops.,Loss of gas back to system instead to customer,Possibility of damage to the pump due to lack of suction,Loss of make up water to environment,Delay in ship loading and demurrage,Ineffective regeneration process in Gas Dryer D-100A/B,"The additive will not get pumped instead air is
accumulated"
"Possible over pressurization of the Horton Sphere/ Bullet, leading to rupture causing fire/ explosion.",T1 overfills. High pressure in C1 and H3 if C1 floods.,Gas contamination to hot water system leading to gas release at WHRU,Corrosion in the batch mixer, Potential increase in BOG generation. Potential for over pressurization and subsequent damage. Potential for injury/fatality.,The purpose is not fulfilled (fe3+ to fe2+),No regeneration process causing wet gas going to compressor,Depressurisation of V-001 and associated lines
"Possible over pressurization upstream, leading to fire/explosion",Possible leakage/Rupture Safety hazard,Overfilling of Sump Tank V-400 and liquid release from vent to environment, Failure of Pump (P-100); Cavitation in Pump (P-100),Potential for damaging the anchor straps of the dome and potential for Ammonia release to atmosphere. Potential for injury/fatality,"Product will have more acidic
concentration",Gas introduce to hot water system leading to potential overpressure of hot water system,Impossibility of discharging fluids V-001
"Possible overfilling of cylinder, safety hazard. May lead to Fire/ Explosion",Possible sand production leading to erosion in piping and the choke,Hydrocarbon gas release to environment,Corrosion in tubes of heat exchanger in (E-100 to E-103)," Potential for Ammonia leakage from the ERS valves, potential for injury/fatality if operator is present near by.",Resulting in  less concentrated solution,High temperature in the circulation water around the waste heat recovery unit,High level at V-100 leading to liquid carry over to metering skid M-100 and downstream equipment
Damage to the seal may result in the release of methanol/methylate which creates a fire/explosion hazard,Erosion on piping or choke. Possible choking of condensate control valve in VI.,Loss of gas to atmosphere resulting gas cloud around process area and potential fire if ignited,Overheating of process fluid results in vapor formation; Rupture of (4”-C-CS-104-40),This will lead to high pressure in the firebox leading to potential personnel exposure to hot flue gases. Potential for personnel injury.,The ultimate product will be of less quality than the desired product,Less of flue gas to E-300 resulting in lower temperature generated for water circulation,
The release of sodium methylate/methanol at the truck unloading station will be accommodated in a special drain hole. Potential fire hazard:,Potential slugging regime,potential Ammonia vapour release from the XV's. Potential for injury.,Damage of pump (P-100) head and shaft, Loss of combustion air to all burners and potential flame out of all main burners. Potential accumulation of unburnt fuel gas leading to explosion in the firebox. Potential personnel injury/ fatality.,Condensate splitter T-100 dry out; No operation in T-100,Low gas temperature from exhaust gas compressor to WHRU resulting condensation at gas ducting E-300, Potential warm-up of offloading header over a period of time. Potential for two phase flow once the offloading is restarted. Operational issue due to higher BOG generation after the restart of the offloading operation.
Potential increase in  pressure leading  to  tank  failure leading to escalation of fire incidents,Potential slug formation and reactions forces on the riser,Potential release of Ammonia from PSV routed to atmosphere due to over pressure scenario.,Possible damage to the unit’s generators,Injury to operator present nearby due to leakage of steam/ hot feedstock,Off specification products; Excessive entrainment; Vapor velocity increases,Potential overpressurization of piping at pump discharge,Potential for various misdirected / reverse flow resulting in upset scenarios.
Potential overpressurization of upstream plant (Gundih Facility) resulting in hydrocarbon release leading to fire or fatality,High level at F-100 leading to liquid carry over to Gas Dryer D-100A/B,Potential loss of containment leading to injury/fatality.,"Passage of gas through the V-102 degasser, Possible damage to the degasser",Minor environmental impact due to release of VOCs through 11XCV- 031.,"No methanol/catalyst is transferred to the daily tank. In  case  of  minimum  stock  of  methanol/catalyst  in  a daily  tank,  it  will  lead  to  less  production  or  plant shutdown",Loss of water for cooling media resulting insufficient heat absorbed during heat transfer leading to CN gas offspec,This will result on loss of heat tracing on potable and service water headers. Potential for freezing water and non-availability of water for safety showers/eye wash.
Gas blowby to Sump Tank leading to gas cloud and potential fire and explosion,Potential overflow to open drain,"This will result in less flow of pilot gas to pilot burner resulting in potential flame out of the pilot burner. Pilot will not be available to reignite the  main burner. In the event of loss of main flame, potential accumulation of flammable gases. Potential release of uncombusted hydrocarbon at the stack.", Breaking of stages in the separator vessel V-001,,Process upset loss of inventory to bullet / Horton Sphere.,Build up pressure in Sump Tank V-400 leading to potential overpressurization,This will lead to high draft in the heater resulting in potential ingress of air from the surroundings into the heater. This will result in inefficient heater operation as flue gas temperature is expected to reduce as well as excess air is expected to increase. Operational upset.
Lack of fire water supply resulting in inadequate water to extinguishing fire,Potential overflow to TK01,This will lead to a loss of level in the Fuel Gas KO Drum (010D-008) leading to potential gas blow- by to the closed drain system, Possible internal damage to vessel V-001 and accessories,,No methanol/catalyst is transferred to 160V2 and fed into the reactor causing plant shutdown, Potential for blocked discharge for the ship offloading pumps.,Potential for high temperature of product (about 100 degC instead of 65 degC during normal operation) routed to downstream bleaching Unit 12. 12FB-01 has certain buffer capacity and also designed at 135 degC.
Fail to supply fire water in case of fire leading to fire escalation,Potential leakage of Ammonia leading to potential injury/fatality.,Very minor release of reactor vapors around Barometric Water Tank. No significant amount of hazardous materials expected. Smell issues.,Loss of suction to Drain/Circulation pump. Potential for bearing damage. Financial loss.,,Unit shut down, Potential for Nitrogen routing to storage tank through the vent line of the vapour pot. Potential for over pressurization over a period of time. Potential for damage. Potential for injury/fatality.,Potential excess water feeding into bleaching unit. Bleaching unit has a dryer for water removal.
Loss of gas to atmosphere resulting gas cloud around process area and potential fire if ignited,Potential for overfilling and leakage of Ammonia into the dome section.,Localized release of off gases near 11FB-01. Potential odour issue.,"Possible overheating, may result in over pressurization of the system. Possible damage to piping/ equipment, safety hazard.",,"Depressurization of the system, loss of gas to flare and loss of production","Depending on the discharge pressure of the ship pumps, potential for backflow of Ammonia into the Nitrogen header. Potential for contamination and operability issues with the XV's within the jetty area ",Potential loss of VOCs to Hot Oil Heater (57BA- 01).
Fire at ventstack," Potential for Ammonia leakage from the ERS valves, potential for injury/fatality if operator is present near by.",,"Possible hose/line damage, may lead to rupture",,Inefficient heat absorption to D-100,Potential for increased flow through the other offloading arm resulting in high velocity and high vibration. In worst case of continued operation potential for Ammonia leakage. Potential for injury/fatality.,Impact on reactor life is expected to be in the range of category 1. Production loss is not expected since HTU can be bypassed.
