Equipment ,Parameter ,Guideword ,Applicability,,,,,,,
Compressor ,"Flow (Gas or air flow)

(Inlet flow , Outlet flow)",No/None,Always applicable,,,,,,,
,,More,Always applicable,,,,,,,
,,Reverse,Always applicable,,,,,,,
,,Less,Always applicable,,,,,,,
,,As Well As,"Do not consider, If there is no purge or bypass line",,,,,,,
,Temperature,More ,"Do not consider if temperature is not monitored, not critical for operation or safety, and has no major impact on system integrity.",,,,,,,
,,Less,,,,,,,,
,Pressure ,More,Always applicable,,,,,,,
,,Less ,Always applicable,,,,,,,
,Composition ,Other than ,"Do no consider if single product, no chance of contamination or mixing before/after compressor.",,,,,,,
,Speed,More ,Do not consider if compressor has fixed-speed driver (most conventional electric motors or constant-speed turbines).,,,,,,,
,,Less,,,,,,,,
,,No/None,,,,,,,,
,Power,More,Donot consider if compressor is manually driven or purely mechanical system with no variable/controllable power input (Mostly it has power input),,,,,,,
,,Less,,,,,,,,
,,No/None,,,,,,,,
,Vibration,More,"Not applicable if the compressor is very small, low-speed with no vibration monitoring (sensor), low consequence of failure.",,,,,,,
,,Less,,,,,,,,
,"Oil level
(If lubrication needed)",More,"Do not consider if the compressor is oil-free (dry gas) compressors, non-lubricated, hermetically sealed units.",,,,,,,
,,Less,,,,,,,,
,"Utility supply
(Air/ cooler other other utilities)",More,Do not consider if there is no external utilities are used by the compressor or utilities are non-critical.,,,,,,,
,,Less,,,,,,,,
,,No/None,,,,,,,,
, Operator Sequence ,Not carried out,"Do not consider if the system is fully automated and operator intervention is impossible (still, procedural error may still be plausible).",,,,,,,
,,Early,,,,,,,,
,,Late ,,,,,,,,
,,Reverse,,,,,,,,
Vaporiser ,"Flow 
(Liquid/gas ; Inlet& Outlet",No,Always applicable,,,,,,,
,,Less,Always applicable,,,,,,,
,,More,Always applicable,,,,,,,
,,Reverse,"Not applicable if design has check valves or is physically one-way only, ",,,,,,,
,,As Well As,"Not applicable if  there is single feed line, no possibility of multiple streams like bypass or purge",,,,,,,
,Pressure ,More,Always applicable,,,,,,,
,,Less ,Always applicable,,,,,,,
,Temperature,More,Always applicable,,,,,,,
,,Less,Always applicable,,,,,,,
,Level,More,Not applicable if there is no liquid holdup or sumps associated with vaporizer lines,,,,,,,
,,Less,Not applicable if it is vapor-only systems without liquid accumulation,,,,,,,
,Composition ,Other than ,Do no consider if single feed source and no contamination risk,,,,,,,
,Phase,Other than,"Pure phase system, no phase change expected (Mostly applicable as liquid need to vaporised to gas / vapor)",,,,,,,
,"Utility supply
(Water/ steam/ electricity)",More,Not applicable if it is ambient vaporizers or self-heated systems without utilities (Mostly applicable),,,,,,,
,,Less,,,,,,,,
,,No,,,,,,,,
,Operator sequence,Not carried out,"Do not consider if the system is fully automated and operator intervention is impossible (still, procedural error may still be plausible).",,,,,,,
,,Early,,,,,,,,
,,Late ,,,,,,,,
,,Reverse,,,,,,,,
,Oxygen (Air) Ingress,As well as,"Not applical if it is fully inerted/purged system, no ingress expected",,,,,,,
Reactor,"Flow 

For all lines existing (reactant, product, purge, heating/cooling, vent, sampling, nitrogen etc.)",No,Not applicable if that is a batch process with no flow stage,,,,,,,
,,More,Not applicable if that is a batch process with no flow stage,,,,,,,
,,Less,Not applicable if that is a batch process with no flow stage,,,,,,,
,,Reverse,Not applicable if the flow is only through gravity & NRV present in the lines ,,,,,,,
,,Early,"Applicable for batch/sequencing critical, flow starts before allowed phase (Not applicable for continous)",,,,,,,
,,Late ,"Applicable for batch/sequencing critical, flow starts before allowed phase  (Not applicable for continous)",,,,,,,
,Temperature,More ,Always applicable,,,,,,,
,,Less,Always applicable,,,,,,,
,,Early,Not applicable for continous process,,,,,,,
,,Late ,Not applicable for continous process,,,,,,,
,Pressure ,More ,Always applicable,,,,,,,
,,Less ,Always applicable,,,,,,,
,Level,No/None,Not applicable if it is gas only or solid only systems,,,,,,,
,,More ,,,,,,,,
,,Less ,,,,,,,,
