Parameter,Guidewords,,,,,
,No,Less (Low),More (high) ,Part Of,As well as,Reverse
Flow,✔,✔,✔,,,✔
Temperature,,✔,✔,,,
Pressure,,✔,✔,,,
Level,,✔,✔,,,
Composition,,,,✔,✔,
Viscosity,,✔,✔,,,
Impurity,,,,,✔,
Concentration,,✔,✔,,,
Heating,✔,✔,✔,,,✔
Cooling,✔,✔,✔,,,✔
Mixing/stirring,✔,✔,✔,,,
Reaction rate,,✔,✔,,,
Separation ,✔,✔,✔,✔,,
Phase,,,,,,
Particle size,,✔,✔,,,
Position,✔,,,,,✔
Measure,✔,✔,✔,,,
Control,✔,✔,✔,,,
pH,,✔,✔,,,
Signal,✔,,,,,
Maintain,✔,,,,,
Vibration,,✔,✔,,,
Current,✔,✔,✔,,,
Start/Stop,,,,,,
