Safeguards ,,,,,,,,,,,
Design Considerations ,Passive Safeguards ,Active Safeguards ,Adminstrative Safeguards ,,,,,,,,
"Design LIA (Level Indicator Alarm) 0101a, The level indicator shall be installed",BD2 relieving to dump tank,pressure alarm (PT1) interlocked to shut down NH3 flow,proper maintenance,,,,,,,,
add HX-102 bypass,All spillages in this area run to a common sump,"high-temp alarms added to T12 , High-Temperature Alarm on TK-04 , High temperature alarm TAH301,  tank equipped with high-temperature alarm, TAH 0703 set at 85 deg C alarm to alert operator",Labor protection,,,,,,,,
"trip system, pump trip", Breather Valve,(Level Indicating Controller) LIC1 alarms,HX clean-up procedure,,,,,,,,
Mixer adjustment and reparation procedure, Emergency Deluge and foam systems,"it high-level alarm on LIC1 with automatic pump shutdown. 
Add independent level transmitter and alarm LT2","Product recall, regular stream analysis",,,,,,,,
Emergency overflow tank,Continuous x-ray monitoring device in cooling-water outlet pipeline,"fit alarm (implement) NH3 (AL1, AL2) with high alarm 12%","Valve labeling, practice",,,,,,,,
Computer has its own UPS,Liquid level monitoring by continuous level gauge,fit low temp alarm on T12,Independent alarms TICA 32/33 located in a manned control room,,,,,,,,
Cooling-water system is designed with multiple independent water-cooled cooling coils and standby cooling coil,Waste temperature monitoring device,"automatic shutdown bypass activated by AL1 AI2, 
SV2 closes, SV3 opens T12 alarms",Standard procedures,,,,,,,,
 Waste transport system and waste can be transported into spare tank once primary tank leaks.,Corrosion monitoring of tank,"Low pH alarm, regular pH monitoring",Personnel H2S Monitors,,,,,,,,
Tank equipped with water supply unit and water added to tank regularly.,Acidity monitoring device.,"PRV on IST, Pressure Relief Valve on TK-04, RV on pump will lift, (safety relief valve) SRV provided.",Personal Protective Equipment,,,,,,,,
"Duplicate pumps and stand-by emergency power supply, Back up dryer available",Slug Catcher provided at Gundih facility,"fit nonreturn valve (NRV1), Pump NRV(non-return valve), NRV fitted in methanol feed lines Ml-2"", 15 CS, M2-2"" 15 cs. PD pump is a form of NRV.",Constant communication of the operator with the pier and getting feedback,,,,,,,,
 Automatic operation to stop cooling-water supply,Sump Tank open to atmosphere,"High-level alarm in the Crude Storage Tank (TK-01),  LAH-450143, LAH-102 with closing action of (Shut-Down Valve) SDV 30010, Tank High Level Alarm (LSH002001/002002/002003/002004)",Air inlet pipes and agitation system should be checked in time once pressure is lower than design.,,,,,,,,
Wall thickness of piping and equipment already considered sour gas condition,F-101 to collect any condense liquid,TICA32/33 located in a manned control  ,Set water supply unit and add water to tank regularly,,,,,,,,
Manual by pass valve on around liquid trap ,Second liquid trap provided on the pipe to Sump Tank,TAL from TICA 32,Proper monitoring of the centrifugal pump (hydraulic pressure),,,,,,,,
PV(Pressure Valve) -0501A/B will hold the pressure,,Alarm on motor current (low),Proper monitoring of wilden pump and pipeline by the operator,,,,,,,,
Maximum discharge pressure of Compressor 255 barG is less than MAWP Tube storage design 373 barG,Local pressure indicator provided each compartment,Safety valve SV301 and rupture disk,Proper inspection and testing of valves,,,,,,,,
Explosion-proof motor of cooling tower,Indicator of online compressor in control room,High flow alarm FAH301,Regulate the throttle properly,,,,,,,,
Nitrogen back up is provided to open KV-0501 to deliver gas from CNG compartment to tambak lorok,Emergency ventilation system,Low-level alarm LAL301,"Prior test is to be conducted, QA/QC performed",,,,,,,,
