Causes ,,,,,,,,,,,
Operator/ Human Errors ,Instrumentation Faliure ,Control System Failure ,External Power Failure  ,Accidental Trip / Trip Failure ,Incorrect Operating procedure ,Poor Maintenance,No necessary Equipment,Blockage ,Equipment Failure/Damage  ,Leakage ,External surroundings
vent/relief system open,"FV1 plugging, FIC1 failure",Failure of compressor controls,power fail,P-4501 breakdown or trip for any reason,Filter damaged or wrongly installed,Refractory particles from reactor,"Misunderstanding, poor radio protocol, incompatible radios",Partially blocked filter,Compressor failure,Leakage into storage from refrigeration,Sudden changes in environmental conditions
vent valve is open,Pump failure/FV1 fails,FT2/ratio control evaporation,electrode fails,Electric heater stop due to mechanical failure,no reactant available,purging or recycle no proper,"Pressure drop in Ml 2"" 15CS is too high due to the need to inject methanol into online wells. The pump capacity is inadequate.","Partial failure or blockage FPV1, LIC1 fails",Fall in line press; (compressor fails) high pressure at reactor,Leak in pipe,Heat source during box-up conditions
excess voltage consumption,"FV1 sticking, LIC1 fails","Failure of ratio control, air flow restricted","Unpredicted failure, cut cable, and so on",Air Compressors package trip/broken,no flow of reaction,Residual formaldehyde,Closed in system with a PD pump,NRV4 stuck closed,Compressor failure; FV1 failure,reactor leak,External fire
over speed of pump,LIC1 fails Steam failure,Control systems failure,Power failure or pump failure of cooling-water system.,Compressor Trips.,no catalyst,Badly adjusted mixer,"NFH as NRVs
provided.",NRV4 partially closed Failure of ratio control,Partial failure pump/ valve/FV1 fails,leak in reaction,Waste retains large amount of gas.
"V6 closed, V5 open","FV1 fails, trap frozen",temperature control fails,Pump stopped due to no power supply or pump damage,Transfer Pump trips (provided compressor is running),operating conditions not satisfactory,F2 not fully emptied from last batch,LPG present de-shaping of scrap cylinders,valve stuck,"Pump fails, vaporizer press; higher than delivery",leak in reactor,Natural water intrusion.
V5 too far open,Valve not working properly,pressure control fail, Loss of power,Nitrogen compressor trip,Not enough material,Corrosion/erosion of OP1,Requirement of drain from the bottom of the tank.,relief/vent valve stuck,"Failure of steam flow, FPV1 fails closed",leak in pump/line/valve,Evaporation losses.
"V5 too far open, human factors, poor operation understanding",cooling system fail,control valve not working properly,All operating Transfer pumps trip due to any reason. (Power failure to only Transfer pumps and not general power failure) during winter months., Loss of Ammonia from ship during offloading due to any reason (ship pump trips).,temperature of reactants are low,Wrong OP fitted at OP1 after maintenance,Isolation requirements for external XZV's on Drain/Circulation and Transfer  pump suction lines.,Blocked fire escape valve,pipe rupture,Crack or leak at BD2 (action 8.2 only detects full burst),Water from atmosphere through vent
"Hydrostatic head in IST, delayed V1 closure",Valve problem on AV203 during the transfer,FIC0101a control FV0101a Failure,Global power failure,Tripping of Drain/Circulation pump.,excess cooling,Incorrect connection after maintenance,Arrangement for temporary flare.,"P-01 failure, Total blockage of HX-102 or HX-AP",pump fail,Loss of cooling water (a low probability event),Fire at plant
"Operator error, e.g., shift handover. MV307 closed after maintenance",PCV-03 malfunctions open (mechanical or incorrect setpoint) put Natural gas line from Plant Distribution,TICA0101a control PLC failure,Loss of power,One of the Transfer pumps trip,some endothermic reaction,Mismanagement of lineups,Non-availability of HTU Oil Drain Drum Pump (11GA-06) due to any reason,Blocked hydrolysis reactor HX-102 or HX-AP,Pump not working properly,Leaking flange on transfer line from F2 to F3,High Ambient Temperature
Error at earlier stage resulting in small excess (double charging covered in HAZOP of addition step),NC block valve inadvertently opened,Control problem or faulty temperature signal (reads low),Loss of instrument air,All operating Transfer pumps trip due to any reason. (Power failure to only Transfer pumps and not general power failure) during winter months.,low reaction flow rate,Liquid movement in the tank and poor earthing,,Blockage in line or at OP1,insulation fail,Leakage or spillage,External Fire
Error at earlier stage resulting in small deficiency,"FV-01/02 malfunctions open (mechanical, transmitter failure, or incorrect setpoint) on the discharge of Crude Pump (P-001/002)",Complete loss of control computer,,One of BOG compressor K-681A/B trips during holding mode.,low reactant pressure,"Excessive crystals deposited on cooling coils, thus reducing heat-removal efficiency of cooling system.",,Partial blockage in line or at orifice plate OP1,insulation loss,Loss of glycol,Low Ambient Temperature.
MV306 is open and so orifice plate OP1 is bypassed,"The 4"" bypass block valve inadvertently opened",Selective failure. Most serious: loss of temperature sensors/control,,All fin fans of BOG condenser trip ,impure reactant,Unsafe action,,block valve inadvertently closed on the glycol line,Aging elastic deformation,Leakage from upstream equipment V0301 / V0302,Excessive movement of ship due to any reason during the offloading operation.
Jacket not switched from steam to cooling water after earlier step,Upstream feed control valve FV301 has malfunctioned or is opened excessively,Level sensor failure,,Warm Ammonia air cooler trips,operating condition not proper,Existing impurities,,Unintended closure of the upstream pipeline,motor failure,leakage of the upstream pipeline,Condensation in BOG KO suction drum is not expected even during winter months.
Wrong drum used when charging component B,Open PCV-450141 during filling,Control valve failure,,Storage flare KO pot pump trips when in operation.,low catalysis,Scaling in tubes of heat Exchangers,,Blockage of the upstream pipeline,Malfunctioning of pump P-01,Leakage from the reactor R0301,External fire around Fuel Gas KO Drum (010D-008)
Step started early,PCV-450141 closes during unloading,Control valve is fully opened;,,PZLL-304A/B/C malfunctions leading to trip of heater,high flow cooling,Sour Gas (H2S) and water content in the production gas,,Purge ventilation system is blocked.,Broken mixer, Primary tank leak.,External fire on HTU Feed Strainers (11FD- 01/S)
Workout period is shortened if the addition is slow (for any reason),Closure UV-450142,Failure of temperature controller; AC-100 malfunction; ,,Forced Draft Fan (010BL-001A/B) trips.,heating ratio changes,Single isolation valve for Maintenance of PSV-0101A/B,,Ventilation inlet blockage,Mechanical coupling fails or agitator blade becomes detached,Cooling-water pipes experience large breaks or are blocked,External fire on HTU Dried Feed Heaters (11EA- 02/S) process/ steam- condensate side
